job_role,industry,education_level,location,company_type,company_size,years_experience,years_at_company,performance_rating,num_skills,certifications,projects_completed,promotions_received,overtime_hours_week,distance_from_work,monthly_hours,salary_lpa,increment_pct,promotion_prob
Data Scientist,Manufacturing,High School,Hyderabad,Indian Large Corp,Mid (50-500),2.3,2.3,2.5,2,3,11,0,6,6,161,15.37,7.3,0.26
Data Scientist,Media & Entertainment,PhD,Mumbai,Government/PSU,Enterprise (5000+),3.6,3.6,2.9,3,3,10,0,5,21,180,21.41,7.3,0.29
Senior Software Engineer,Finance & Banking,High School,Hyderabad,Indian Large Corp,Small (<50),17.5,4.9,3.5,3,0,33,4,8,86,162,37.1,12.3,0.42
Sales Executive,Media & Entertainment,Diploma,Kolkata,Indian Large Corp,Enterprise (5000+),7.4,0.1,3.2,5,0,23,1,2,0,147,17.62,11.4,0.37
Tech Lead,IT / Software,Bachelor's,Delhi NCR,Startup,Large (500-5000),1.4,0.8,4.3,2,0,14,0,2,34,122,38.95,12.2,0.36
Finance Analyst,Healthcare,Diploma,Chennai,MNC,Small (<50),2.1,1.0,3.2,7,0,7,1,6,5,175,16.54,11.7,0.51
Cybersecurity Analyst,Consulting,High School,Chennai,Government/PSU,Large (500-5000),1.4,1.4,2.7,5,0,6,0,10,20,186,13.44,9.7,0.29
Senior Software Engineer,Government/PSU,PhD,Tier-2 City,MNC,Enterprise (5000+),0.7,0.7,2.8,8,0,12,1,3,0,181,23.23,11.8,0.58
Data Analyst,Manufacturing,MBA,Remote,Mid-size,Mid (50-500),5.3,3.8,3.8,7,0,18,1,1,0,154,20.1,11.2,0.49
Data Analyst,Healthcare,High School,Pune,MNC,Mid (50-500),0.1,0.1,3.2,8,2,10,1,7,33,186,26.81,10.9,0.65
Data Scientist,Manufacturing,Master's,Ahmedabad,Mid-size,Mid (50-500),6.1,5.2,3.5,3,1,14,1,5,2,207,19.83,11.6,0.3
Cloud Architect,Healthcare,Bachelor's,Pune,MNC,Mid (50-500),0.4,0.4,3.3,8,1,6,1,2,25,150,35.01,13.4,0.65
Sales Executive,Healthcare,PhD,Delhi NCR,Startup,Enterprise (5000+),2.7,2.0,2.8,2,0,9,0,0,3,136,19.11,11.3,0.32
Finance Analyst,Media & Entertainment,PhD,Hyderabad,Mid-size,Small (<50),0.2,0.2,4.3,5,1,12,0,0,1,166,18.21,14.1,0.4
HR Manager,Consulting,High School,Kolkata,Mid-size,Small (<50),0.1,0.1,2.9,7,0,14,0,8,45,182,10.06,9.4,0.38
Business Analyst,Consulting,MBA,Hyderabad,Startup,Enterprise (5000+),5.0,0.3,2.0,6,1,15,2,3,1,187,29.67,8.7,0.32
QA Engineer,Manufacturing,Diploma,Delhi NCR,Indian Large Corp,Large (500-5000),14.7,4.1,2.8,6,0,26,4,4,65,147,23.23,8.5,0.4
Tech Lead,Startup,Master's,Kolkata,Mid-size,Mid (50-500),16.5,0.6,3.5,5,1,33,4,5,8,160,36.55,11.3,0.51
ML Engineer,Government/PSU,MBA,Mumbai,MNC,Small (<50),1.9,1.9,3.7,9,0,8,1,8,36,126,23.97,11.1,0.55
ML Engineer,E-Commerce,PhD,Kolkata,Government/PSU,Small (<50),10.0,0.4,3.3,6,2,27,2,5,28,205,24.28,9.6,0.39
Cybersecurity Analyst,Startup,Master's,Ahmedabad,Government/PSU,Large (500-5000),0.1,0.1,4.0,7,3,9,0,0,3,183,16.98,11.2,0.38
Sales Executive,Finance & Banking,High School,Tier-2 City,Mid-size,Large (500-5000),11.4,0.7,4.7,3,0,21,2,3,14,173,15.55,14.5,0.52
Data Scientist,Education,Bachelor's,Delhi NCR,Startup,Small (<50),0.4,0.3,3.2,5,1,8,0,4,15,159,16.56,9.7,0.34
Finance Analyst,E-Commerce,MBA,Tier-2 City,MNC,Large (500-5000),1.9,1.9,2.8,6,0,11,1,0,5,162,19.64,8.1,0.39
Operations Manager,Healthcare,MBA,Delhi NCR,Mid-size,Mid (50-500),1.0,0.4,1.5,7,0,11,1,7,6,153,17.79,9.9,0.36
Sales Executive,IT / Software,MBA,Remote,Mid-size,Enterprise (5000+),0.3,0.2,2.7,4,0,12,1,3,17,173,17.21,7.9,0.51
Software Engineer,Consulting,High School,Pune,Indian Large Corp,Small (<50),0.9,0.9,3.6,7,1,10,1,3,8,182,16.53,11.9,0.72
HR Manager,Finance & Banking,MBA,Mumbai,Startup,Small (<50),11.2,3.8,3.0,4,3,23,3,6,20,184,33.85,8.3,0.3
Sales Executive,E-Commerce,Diploma,Ahmedabad,Government/PSU,Mid (50-500),1.0,1.0,3.4,5,1,9,0,8,26,156,9.92,10.6,0.41
